,name,nid,price,priceShow,image,location,brandName,sellerId,sellerName,inStock
0,Andormahal Minimalistic MDF made Corner Table,183918002,2374,"৳ 2,374",https://static-01.daraz.com.bd/p/134149f30b6c2eab9b83324f2811cb3b.png,Bangladesh,AndorMahal,700507524315,AndorMahal,True
1,Andormahal Minimalistic MDF made Corner Table,183918002,2374,"৳ 2,374",https://static-01.daraz.com.bd/p/134149f30b6c2eab9b83324f2811cb3b.png,Bangladesh,AndorMahal,700507524315,AndorMahal,True
2,5 Drawers Plastic Smart Closet,240298682,2850.00,"৳ 2,850",https://static-01.daraz.com.bd/p/247c0f5038e234cde849f10426f66223.jpg,Bangladesh,No Brand,700510062071,Momin Crockeries,True
3,Multi Purpose Wardrobe 4 D,290067206,2380.00,"৳ 2,380",https://static-01.daraz.com.bd/p/3e5279e0342bb085e26998fdef9f9018.png,Bangladesh,No Brand,700528233870,Hamko Store,True
4,Stylish Bed B - 14,113254970,25500.00,"৳ 25,500",https://static-01.daraz.com.bd/p/eb201c544d1706ce570569cc1cb2d399.jpg,Bangladesh,No Brand,1009759,Tradcobd Interior Design,True
5,Andormahal Special MDF Wardrobe,157318342,9499,"৳ 9,499",https://static-01.daraz.com.bd/p/31bfb54aabfbeebf6b02d6412feff1e6.jpg,Bangladesh,AndorMahal,700507524315,AndorMahal,True
6,Portable Almirah Dawn Folding Wardrobe Portable High Quality Febrics Cloth Storage Wardrobe Cloth Storage Organizer,267278980,1580.00,"৳ 1,580",https://static-01.daraz.com.bd/p/af4757106749d99f7099b6f91dba32dd.jpg,Bangladesh,No Brand,700508307256,Eor Shop,True
7,Andormahal Classic (MDF) khat/bed Double Size,183961733,7599,"৳ 7,599",https://static-01.daraz.com.bd/p/6c09ea3f8c8dd4d86a2c85329335b2dc.jpg,Bangladesh,AndorMahal,700507524315,AndorMahal,True
8,Andormahal Classic Wardrobe with Five Drawers made of MDF,188156326,8074,"৳ 8,074",https://static-01.daraz.com.bd/p/9eb5f3016cab62ba922e34802ecfb0fd.jpg,Bangladesh,AndorMahal,700507524315,AndorMahal,True
9,Andormahal  (MDF)  box khat/bed double size(without drawer),157286346,9974,"৳ 9,974",https://static-01.daraz.com.bd/p/fe4b9642922b1487a5bbf6eb2e76fe17.png,Bangladesh,AndorMahal,700507524315,AndorMahal,True
10,RFL Wardrobe Classic 5 Drawer Fusion,132230487,8500.00,"৳ 8,500",https://static-01.daraz.com.bd/p/38487d822ce28794c433c274566b66f9.jpg,Bangladesh,No Brand,700505031103,SADIA ENTERPRISE,True
11,RFL Caneo Closet 5 Drawer Eagle Brown,130584855,4000.00,"৳ 4,000",https://static-01.daraz.com.bd/p/80c363305d17ce323fbd423510806629.jpg,Bangladesh,RFL,700505031103,SADIA ENTERPRISE,True
12,Premio New York Closet - 5 Drawer - Pink and White,132112151,3752,"৳ 3,752",https://static-01.daraz.com.bd/p/4f21d6abbb92abf2f19ee2f94201574b.jpg,Bangladesh,No Brand,1028334,Brother's Hardware,True
13,"bedside table, nightstand table, bedside book shelf, white color bed side  shelf",238705165,2200.00,"৳ 2,200",https://static-01.daraz.com.bd/p/e439a8a2a11501d1d145af3d79fda4d1.jpg,Bangladesh,No Brand,700509984066,al insaf  furniture gallery,True
14,HCX Wardrobe Storage Organizer for Cloth Multi Color,671895,1899,"৳ 1,899",https://static-01.daraz.com.bd/p/2fa97145be4c9a6917c5144f6ad7074e.jpg,Bangladesh,No Brand,2049,H K Wholesale Enterprise,True
15,HCX Wardrobe Closet Storage Organizer Clothes Rack - Dark Maroon,100938565,1899.00,"৳ 1,899",https://static-01.daraz.com.bd/p/b449376701d7aed44d496469fee1c8a8.jpg,Bangladesh,Crockeries,2997,Crockeries,True
16,B-01093 Stylish Standard Mirrored Leather Bed (Single / Double / King) All Size Available,260949617,19500.00,"৳ 19,500",https://static-01.daraz.com.bd/p/e0ba1e02df72ada9fbca4ca7e9af564e.jpg,Bangladesh,No Brand,700509393077,Shanto Electronics & Furniture,True
17,FZ601 Laminated Wood Dressing Table New  - Wood By FunriZone,288467664,5500,"৳ 5,500",https://static-01.daraz.com.bd/p/42ca4192cccf961d33be91b148c1ec8a.jpg,Bangladesh,No Brand,700508379111,FurniZone Home Decor,True
18,Malaysian Process Wood (MDF) Stylish khat/bed single size,188016854,8549,"৳ 8,549",https://static-01.daraz.com.bd/p/43d282f0e884e2be66fe842d9ad16146.png,Bangladesh,No Brand,700507524315,AndorMahal,True
19,Single Air Bed Free Electric Pumper - Navy Blue,104080510,2250.00,"৳ 2,250",https://static-01.daraz.com.bd/p/fa62f15a83fa1d252cf89dbd20acf7e1.jpg,Bangladesh,No Brand,1011425,Glory Tech,True
20,Side Tables For Bedroom Melamine Laminated Board 2 ft by 1.5 ft Side Table,222866645,3800.00,"৳ 3,800",https://static-01.daraz.com.bd/p/6607b97e48e8a667645fd2dfc5ec12fe.jpg,Bangladesh,No Brand,700509963018,TahiraFurnitureCtg,True
21,BeautyLand Korean Multipurpose 3 Layer Cloth Organizer Rack Wardrobe,239316582,1199.00,"৳ 1,199",https://static-01.daraz.com.bd/p/b623de34f7dec181a75de109522ad247.jpg,Bangladesh,No Brand,700508325333,Sara Enterprise BD,True
22,Bluebell Wooden Cup Board  Cbh-304-3-1-20-Classic,236250392,39093,"৳ 39,093",https://static-01.daraz.com.bd/p/43d5c643397dd43681a47e395e223a70.jpg,Bangladesh,REGAL,700508499093,Regal Furniture.,True
23,LF-BST-109  BED SIDE TABLE FOR HOME DECOR,157306054,3333.00,"৳ 3,333",https://static-01.daraz.com.bd/p/27c90d2cf675379dc2be231cb66ef206.jpg,Bangladesh,Liza Furniture,700507773213,Liza Furniture (KHL),True
24,Wardrobe Double 5D KD Deluxe Diana,282411939,9500.00,"৳ 9,500",https://static-01.daraz.com.bd/p/af05d7cdeb260a9620055f2f779e23c7.jpg,Bangladesh,No Brand,700509903142,Rayan International,True
25,Trendy Mart Melamine Board Bedside Table,267742679,1700.00,"৳ 1,700",https://static-01.daraz.com.bd/p/9adcb3293bfdf850f5a01a7937f6a4da.jpg,Bangladesh,No Brand,700509801001,Trendy Shop Mart,True
26,Medicated WooD  Sime  Box  Beds / Khat,208527035,15700.00,"৳ 15,700",https://static-01.daraz.com.bd/p/75c5dc2b2147da99de6a08b9421bc9bf.jpg,Bangladesh,No Brand,700508244150,JIFC FURNITURE,True
27,Andormahal Classic (MDF) 2 part Almirah with 2 drawers,187997934,9974,"৳ 9,974",https://static-01.daraz.com.bd/p/eeacc1a8d9e16f83c2861fdf3714d1d0.png,Bangladesh,AndorMahal,700507524315,AndorMahal,True
28,Closet Metal Garment Rack with Wood Shelves Open Wardrobe Freestanding Clothes Garment Organizer,263312254,11000.00,"৳ 11,000",https://static-01.daraz.com.bd/p/55f3abe76f5b8ec6cceca90c0397c223.jpg,Bangladesh,No Brand,700519656112,Furniture Bazar,True
29,"Mattress QM Pillow Top (81x69x4.5"")",184893979,10499.00,"৳ 10,499",https://static-01.daraz.com.bd/p/79eb2efdc3b496834d9496cc3243be95.jpg,Bangladesh,No Brand,700506369004,QM Foams LTD,True
30,Malasian Binear Processing Wood Shoe Rack,184768942,10500.00,"৳ 10,500",https://static-01.daraz.com.bd/p/db8b332120ad811acba30b3dc289753c.jpg,Bangladesh,No Brand,700508082043,Furniture World(CTG),True
31,3 Part Almiraah Melamine board,287896809,14000.00,"৳ 14,000",https://bd-live-21.slatic.net/kf/S5500439e308e47b3b47899d15634ad51p.jpg,Bangladesh,No Brand,700530618451,Ashbab Potra,True
32,"Bedside table/Side Table with Storage,Lanyun Freestanding Storage Cabinet Side Accent Table Nordic Simple Nightstand White Night Stand, Side End Wood Bedside Tables with Drawer for Bedroom Living room",287931162,2399.00,"৳ 2,399",https://static-01.daraz.com.bd/p/d5c4b0f3856f05542b25ba43f887674a.jpg,Bangladesh,RODO,700508799257,RODO,True
33,3 Part Almiraah Melamine board,287896809,14000.00,"৳ 14,000",https://bd-live-21.slatic.net/kf/S5500439e308e47b3b47899d15634ad51p.jpg,Bangladesh,No Brand,700530618451,Ashbab Potra,True
34,B-0699S Gold & Red 4/7feet (Single) Leather Bed by Royals,252456991,16500.00,"৳ 16,500",https://static-01.daraz.com.bd/p/9eefeea3835a3a3f1757b95e10f097e9.jpg,Bangladesh,No Brand,700517004371,Royals Furnitureland & Interior,True
35,B-0633 (6/7Feet King Semi Box Diamond Pesting Bed) 3D Design - Bed,252463069,9999.00,"৳ 9,999",https://static-01.daraz.com.bd/p/bf40f80c914568cf34a094ed1151096d.jpg,Bangladesh,No Brand,700517004371,Royals Furnitureland & Interior,True
36,Double Rail Pole Clothes Drying Rack,239896715,1499.00,"৳ 1,499",https://static-01.daraz.com.bd/p/83ad5d19c495a00880af771d0648a782.jpg,Bangladesh,No Brand,700513548649,Mihad Toy House,True
37,Andormahal Classic (MDF) 2 part Almirah with 2 drawers,187997934,9974,"৳ 9,974",https://static-01.daraz.com.bd/p/eeacc1a8d9e16f83c2861fdf3714d1d0.png,Bangladesh,AndorMahal,700507524315,AndorMahal,True
38,Stylish and High Quality Daffodil Bed  1 sete,177268034,9699,"৳ 9,699",https://static-01.daraz.com.bd/p/f434dfd69c1a334ff2854bebde64516f.jpg,Bangladesh,Jannat Furniture(CTG),700508244150,JIFC FURNITURE,True
39,Modern Luxury Bedside Table with 1 Drawer and 1 shelf Storage Cabinet Storage Cabinet Bedside Table Home Bedroom Furniture Bedside Table,228585020,3950.00,"৳ 3,950",https://static-01.daraz.com.bd/p/b47d091377c52a17b34d7b21d98b7c57.jpg,Bangladesh,No Brand,700507512291,TRANCE Furniture,True
40,BeautyLand Korean Multipurpose 3 Layer Cloth Organizer Rack Wardrobe,183636795,1390,"৳ 1,390",https://static-01.daraz.com.bd/p/8a6ce5ff438748d7c3ea30046063e641.jpg,Bangladesh,No Brand,700504956158,Monwara Shop,True
41,A-0654 (4Palla / 4Door Laminated Almirah by Melamine Board),252458615,17500.00,"৳ 17,500",https://static-01.daraz.com.bd/p/a253304c1ba923ba8a95453571318945.jpg,Bangladesh,No Brand,700517004371,Royals Furnitureland & Interior,True
42,"Dressing table ,Size L-18+W-12+H-67 inch .",221625565,3229,"৳ 3,229",https://static-01.daraz.com.bd/p/be05ac11abe12e69742cb4f4a7a085f1.jpg,Bangladesh,Jannat Furniture(CTG),1014110,Jannat Furniture(CTG),True
43,alhd Royal Wardrobe Platinum 5D Diana 891223,209943491,8195.00,"৳ 8,195",https://static-01.daraz.com.bd/p/9e16facaf179cd3dc44a9bcaa14299cf.jpg,Bangladesh,No Brand,700509024006,Alhamdulillah Departmental Store,True
44,Andormahal Minimalistic MDF made Corner Table,183918002,2374,"৳ 2,374",https://static-01.daraz.com.bd/p/134149f30b6c2eab9b83324f2811cb3b.png,Bangladesh,AndorMahal,700507524315,AndorMahal,True
45,Folding Double Clothes and Shoe Rack - Silver and Black,267092903,1690.00,"৳ 1,690",https://static-01.daraz.com.bd/p/0c002782366836c7fcc0ba6a84d05a2f.jpg,Bangladesh,No Brand,700519227105,Red Star,True
46,Andormahal Minimalistic MDF made Bedside Table,259079965,1899,"৳ 1,899",https://static-01.daraz.com.bd/p/e5f9c7a63bcbcc2b047e6083890001d1.jpg,Bangladesh,AndorMahal,700507524315,AndorMahal,True
47,Andormahal Minimalistic MDF made Bedside Table,259079965,1899,"৳ 1,899",https://static-01.daraz.com.bd/p/e5f9c7a63bcbcc2b047e6083890001d1.jpg,Bangladesh,AndorMahal,700507524315,AndorMahal,True
48,Almirah 4 Door,279310992,50000.00,"৳ 50,000",https://static-01.daraz.com.bd/p/a885de560c2c3a2c29170b2d38e7ba32.jpg,Bangladesh,No Brand,700525965838,Flute Shop,True
49,Perfect Quality Noman Felt Mattress For Comfortable and Stylish Bed,245159765,9971.00,"৳ 9,971",https://static-01.daraz.com.bd/p/a1aee86a7fb6f46e6a68e80b2252a4ae.jpg,Bangladesh,No Brand,700511685977,Noman Mattress,True
50,Dressing Table By Furnizone,273488001,6500,"৳ 6,500",https://static-01.daraz.com.bd/p/423bb9adaddeee4c78b91cd787e4509a.jpg,Bangladesh,No Brand,700508379111,FurniZone Home Decor,True
